_id,link,name,text
https://gb.ru/geek_university/interior-design-residential-and-public,https://gb.ru/geek_university/interior-design-residential-and-public,Дизайн жилых и общественных интерьеров,Создавайте дизайн-проекты для любого вида помещений
https://gb.ru/geek_university/interior-design,https://gb.ru/geek_university/interior-design,Дизайн жилых интерьеров,Научитесь придумывать визуальные решения для квартир и жилых домов
https://gb.ru/professions/digital-marketing,https://gb.ru/professions/digital-marketing,Digital-маркетолог,"Создавайте диджитал-стратегию, подбирайте каналы и реализуйте её"
https://gb.ru/geek_university/copywriter,https://gb.ru/geek_university/copywriter,Редактура и копирайтинг,Научитесь писать тексты для любой аудитории и любых целей
https://gb.ru/geek_university/targeting,https://gb.ru/geek_university/targeting,Таргетированная реклама,Научитесь самостоятельно настраивать рекламу под любые потребности бизнеса.
https://gb.ru/geek_university/e-commerce,https://gb.ru/geek_university/e-commerce,Основы работы с маркетплейсами и e-commerce,Создавайте и продвигайте интернет-магазины
https://gb.ru/geek_university/smm-management,https://gb.ru/geek_university/smm-management,SMM-менеджмент,"Ведите аккаунты во «Вконтакте», Telegram, управляйте посещаемостью"
https://gb.ru/geek_university/internet-marketing,https://gb.ru/geek_university/internet-marketing,Интернет-маркетинг,"Создавайте диджитал-стратегию, подбирайте каналы и реализуйте её"
https://gb.ru/geek_university/developer/product-manager,https://gb.ru/geek_university/developer/product-manager,Продакт-менеджмент,Вы изучите фундаментальные знания в ИТ и прокачаетесь в направлении продакт-менеджмента. Получите востребованную профессию и возможность открыть бизнес в сфере информационных технологий
https://gb.ru/geek_university/big-data-analytics,https://gb.ru/geek_university/big-data-analytics,Аналитика Big Data,Научитесь структурировать массивы информации и выявлять взаимосвязи
https://gb.ru/geek_university/system-business-analysis,https://gb.ru/geek_university/system-business-analysis,Системная и бизнес-аналитика,Научитесь выявлять потребности бизнеса и улучшать процессы в IT-системах
https://gb.ru/geek_university/developer/analyst/product,https://gb.ru/geek_university/developer/analyst/product,Продуктовый аналитик,"Эта программа включает 12 месяцев обучения на аналитика и 3 месяца специализации на продакт-менеджера. Вы получите базовые знания, сделаете осознанный выбор специализации, получите навыки продуктового аналитика, а в итоге найдете работу."
https://gb.ru/geek_university/developer/programmer/analyst,https://gb.ru/geek_university/developer/programmer/analyst,Системный аналитик,Вы изучите фундаментальные знания в ИТ и прокачаетесь в направлении анализа данных. Получите востребованную профессию и возможность открыть бизнес в сфере информационных технологий
https://gb.ru/geek_university/developer/analyst/marketing,https://gb.ru/geek_university/developer/analyst/marketing,Маркетинговый аналитик,"Эта программа включает 12 месяцев обучения на аналитика и 3 месяца специализации на маркетинге. Вы получите базовые знания, сделаете осознанный выбор направления, получите навыки исследований и создания отчетов, а в итоге найдете работу."
https://gb.ru/geek_university/developer/analyst/hr,https://gb.ru/geek_university/developer/analyst/hr,HR (Human Resources)-аналитик,"Эта программа включает 12 месяцев обучения на аналитика и 3 месяца специализации на управлении персоналом. Вы получите базовые знания, сделаете осознанный выбор направления, получите навыки исследований и создания отчетов, а в итоге найдете работу."
https://gb.ru/geek_university/developer/analyst/web,https://gb.ru/geek_university/developer/analyst/web,Веб-аналитик,"Эта программа включает 12 месяцев обучения на аналитика и 3 месяца специализации на исследовании веб-проектов. Вы получите базовые знания, сделаете осознанный выбор направления, прокачаете навыки исследований и создания отчетов, а в итоге найдете работу."
https://gb.ru/geek_university/developer/analyst/commercial-data,https://gb.ru/geek_university/developer/analyst/commercial-data,Аналитик коммерческих данных,"Эта программа включает 12 месяцев обучения на аналитика и 3 месяца специализации на изучении коммерческих данных. Вы получите базовые знания, сделаете осознанный выбор направления, прокачаете навыки исследований и создания отчетов, а в итоге найдете работу."
https://gb.ru/geek_university/developer/analyst/it,https://gb.ru/geek_university/developer/analyst/it,Бизнес-аналитик в ИТ,"Эта программа включает 12 месяцев обучения и 3 месяца технологической специализации. Вы получите базовые знания, сделаете осознанный выбор специализации, освоите навыки бизнес-аналитика в сфере информационных технологий, а в итоге найдете работу."
https://gb.ru/geek_university/developer/analyst/finance,https://gb.ru/geek_university/developer/analyst/finance,Финансовый аналитик,"Эта программа включает 12 месяцев обучения на аналитика и 3 месяца специализации на продакт-менеджера. Вы получите базовые знания, сделаете осознанный выбор направления, получите навыки исследований и создания инвестиционных стратегий, а в итоге найдете работу."
https://gb.ru/geek_university/developer/analyst/bi,https://gb.ru/geek_university/developer/analyst/bi,BI (Business Intelligence)-аналитик,"Эта программа включает 12 месяцев обучения на аналитика и 3 месяца специализации на бизнес-процессах. Вы получите базовые знания, сделаете осознанный выбор направления, получите навыки исследований и создания отчетов, а по итогу трудоустроитесь или откроете свое дело."
https://gb.ru/geek_university/developer/analyst/big-data,https://gb.ru/geek_university/developer/analyst/big-data,Аналитик больших данных,"Эта программа включает 12 месяцев обучения на аналитика и 3 месяца специализации на изучении больших данных. Вы получите базовые знания, сделаете осознанный выбор направления, прокачаете навыки исследований и создания отчетов, а в итоге найдете работу."
https://gb.ru/geek_university/developer/analyst/business,https://gb.ru/geek_university/developer/analyst/business,Бизнес-аналитик,"Эта программа включает 12 месяцев обучения и 3 месяца технологической специализации. Вы получите базовые знания, сделаете осознанный выбор специализации, получите навыки бизнес-аналитика, а в итоге найдете работу"
https://gb.ru/geek_university/developer/analyst/sales,https://gb.ru/geek_university/developer/analyst/sales,Аналитик продаж,"Эта программа включает 12 месяцев обучения на аналитика и 3 месяца специализации на продажах. Вы получите базовые знания, сделаете осознанный выбор направления, прокачаете навыки исследований и создания отчетов, а в итоге найдете работу."
https://gb.ru/geek_university/developer/analyst/pro,https://gb.ru/geek_university/developer/analyst/pro,Инженер-аналитик PRO,"Это трехгодичная программа обучения для тех, кто решил стать профессионалом с твердыми знаниями. Вы изучите технологическую базу, сделаете осознанный выбор специализации, освоите навыки аналитика, прокачаетесь в выбранном направлении до профессионала, а в итоге найдете работу."
https://gb.ru/geek_university/developer/analyst/master,https://gb.ru/geek_university/developer/analyst/master,Инженер-аналитик Мастер,"Это двухгодичная программа обучения для тех, кому необходимы твердые знания и гарантированный результат. Вы получите базовые знания, сделаете осознанный выбор специализации, получите навыки аналитика, прокачаетесь в выбранном направлении, а в итоге найдете работу."
https://gb.ru/geek_university/developer/analyst,https://gb.ru/geek_university/developer/analyst,Инженер-аналитик,"Эта программа включает 12 месяцев обучения и 3 месяца технологической специализации. Вы получите базовые знания, сделаете осознанный выбор специализации, получите навыки аналитика, а в итоге найдете работу."
https://gb.ru/geek_university/it-specialist/analyst,https://gb.ru/geek_university/it-specialist/analyst,Специалист по аналитике,"Это суперинтенсивная программа обучения для тех, кто хочет быстро разобраться в IT и получить востребованные навыки. Вы сможете освоить профессию аналитика и начать работать по профессии уже через 6 месяцев"
